股票代码,股票简称,个股热度[20250708],个股热度排名[20250708],market_code,code,最新价,最新涨跌幅
000518.SZ,*ST四环,1608.0,4193,33,000518,2.52,-0.787401575
603708.SH,家家悦,1608.0,4192,17,603708,10.31,0.487329435
603987.SH,康德莱,1605.0,4194,17,603987,7.82,0.385109114
600966.SH,博汇纸业,1603.5,4197,17,600966,4.56,1.333333333
837006.BJ,晟楠科技,1603.5,4196,151,837006,36.72,-0.433839479
920029.BJ,开发科技,1603.5,4195,151,920029,96.5,0.134896752
002876.SZ,三利谱,1599.0,4199,33,002876,25.28,2.100161551
300174.SZ,元力股份,1599.0,4198,33,300174,15.99,0.946969697
688380.SH,中微半导,1597.5,4200,17,688380,26.69,1.44431775
002203.SZ,海亮股份,1596.0,4202,33,002203,10.39,0.678294574
301262.SZ,海看股份,1596.0,4201,33,301262,26.15,1.238869532
003006.SZ,百亚股份,1595.0,4204,33,003006,26.72,-0.186776242
300658.SZ,延江股份,1595.0,4203,33,300658,6.78,0.444444444
300504.SZ,天邑股份,1594.0,4205,33,300504,15.54,1.635055592
300423.SZ,昇辉科技,1592.5,4206,33,300423,6.88,0.145560408
002633.SZ,申科股份,1592.0,4208,33,002633,14.29,-0.209497207
300453.SZ,三鑫医疗,1592.0,4207,33,300453,8.22,-0.963855422
300791.SZ,仙乐健康,1591.5,4209,33,300791,23.06,0.963222417
002274.SZ,华昌化工,1588.0,4210,33,002274,7.24,0.416088766
000726.SZ,鲁泰A,1587.5,4212,33,000726,6.56,0.923076923
605116.SH,奥锐特,1587.5,4211,17,605116,21.34,-0.233754091
301201.SZ,诚达药业,1586.5,4213,33,301201,23.25,0.518806744
600976.SH,健民集团,1586.0,4214,17,600976,39.24,0.538047656
601512.SH,中新集团,1585.5,4215,17,601512,7.32,0.826446281
300509.SZ,新美星,1585.0,4218,33,300509,8.61,1.056338028
301559.SZ,中集环科,1585.0,4217,33,301559,16.32,1.115241636
600925.SH,苏能股份,1585.0,4216,17,600925,5.16,0.194174757
301281.SZ,科源制药,1584.5,4220,33,301281,32.31,0.779787898
688289.SH,圣湘生物,1584.5,4219,17,688289,20.64,0.09699321
688226.SH,威腾电气,1584.0,4221,17,688226,29.34,3.638290357
301049.SZ,超越科技,1582.5,4222,33,301049,24.08,1.304164914
600308.SH,华泰股份,1581.5,4223,17,600308,3.53,0
000819.SZ,岳阳兴长,1580.0,4224,33,000819,15.71,0
002986.SZ,宇新股份,1579.5,4226,33,002986,11.5,0.261551874
601566.SH,九牧王,1579.5,4225,17,601566,8.89,1.832760596
603309.SH,维力医疗,1578.0,4227,17,603309,12.92,0.15503876
000635.SZ,英力特,1577.5,4228,33,000635,9.06,0
832522.BJ,纳科诺尔,1577.0,4229,151,832522,47.63,-0.956539821
300873.SZ,海晨股份,1576.0,4230,33,300873,20.26,2.065491184
003012.SZ,东鹏控股,1575.5,4233,33,003012,5.72,0.527240773
300463.SZ,迈克生物,1575.5,4232,33,300463,12.01,0.670578374
301633.SZ,港迪技术,1575.5,4231,33,301633,71.59,1.359195809
301220.SZ,亚香股份,1575.0,4234,33,301220,44.02,0.917010546
000911.SZ,广农糖业,1574.5,4235,33,000911,7.44,-0.134228188
002978.SZ,安宁股份,1573.0,4236,33,002978,31.87,0.758773316
688505.SH,复旦张江,1571.0,4237,17,688505,8.96,-0.333704116
300939.SZ,秋田微,1570.5,4239,33,300939,30.39,1.94565582
600784.SH,鲁银投资,1570.5,4238,17,600784,6.39,-0.15625
603939.SH,益丰药房,1569.5,4240,17,603939,24.7,-0.643604183
301383.SZ,天键股份,1568.5,4241,33,301383,38.93,1.644908616
300488.SZ,恒锋工具,1567.5,4242,33,300488,31.4,2.614379085
688302.SH,海创药业,1566.5,4243,17,688302,49.1,-1.996007984
000598.SZ,兴蓉环境,1566.0,4244,33,000598,7.44,-0.401606426
301192.SZ,泰祥股份,1565.0,4245,33,301192,25.54,1.349206349
603001.SH,奥康国际,1564.5,4246,17,603001,7.09,0.567375887
000885.SZ,城发环境,1563.0,4247,33,000885,13.87,0.144404332
600493.SH,凤竹纺织,1562.0,4248,17,600493,6.49,0
603378.SH,亚士创能,1561.5,4249,17,603378,6.14,0.655737705
603103.SH,横店影视,1561.0,4250,17,603103,16.44,0.79705702
001308.SZ,康冠科技,1558.5,4251,33,001308,22.61,0.847457627
301096.SZ,百诚医药,1557.0,4252,33,301096,44.7,0.134408602
600526.SH,菲达环保,1556.5,4253,17,600526,4.89,0
300320.SZ,海达股份,1556.0,4254,33,300320,9.94,1.428571429
000757.SZ,浩物股份,1555.0,4255,33,000757,4.65,1.086956522
000912.SZ,泸天化,1554.5,4257,33,000912,4.69,0.643776824
002529.SZ,*ST海源,1554.5,4256,33,002529,6.69,1.671732523
300652.SZ,雷迪克,1554.0,4258,33,300652,55.26,1.880530973
688538.SH,和辉光电,1552.5,4259,17,688538,2.37,-0.836820084
002963.SZ,豪尔赛,1551.0,4260,33,002963,13.28,0.988593156
300756.SZ,金马游乐,1550.5,4261,33,300756,26.5,1.183657885
300824.SZ,北鼎股份,1549.5,4262,33,300824,12.29,-0.324412003
920106.BJ,林泰新材,1547.5,4263,151,920106,106.58,-2.533150434
002188.SZ,中天服务,1546.0,4264,33,002188,5.68,0.709219858
002937.SZ,兴瑞科技,1544.5,4266,33,002937,16.34,0.67775724
300802.SZ,矩子科技,1544.5,4265,33,300802,18.92,2.215018909
603682.SH,锦和商管,1542.0,4267,17,603682,5.89,0.856164384
600469.SH,风神股份,1541.5,4268,17,600469,5.65,0.533807829
688559.SH,海目星,1541.0,4269,17,688559,31.63,1.08660914
601702.SH,华峰铝业,1539.0,4271,17,601702,15.86,0.954805856
603810.SH,丰山集团,1539.0,4270,17,603810,16.97,1.616766467
600838.SH,上海九百,1538.5,4272,17,600838,8.16,0.36900369
301578.SZ,辰奕智能,1538.0,4274,33,301578,36.2,2.549575071
601999.SH,出版传媒,1538.0,4273,17,601999,7.08,1.142857143
301004.SZ,嘉益股份,1535.0,4275,33,301004,71.91,-0.387865355
301166.SZ,优宁维,1534.5,4276,33,301166,31.14,1.731460307
300056.SZ,中创环保,1532.0,4277,33,300056,14.47,1.259622113
300500.SZ,启迪设计,1531.5,4278,33,300500,12.77,0.551181102
301232.SZ,飞沃科技,1530.0,4279,33,301232,30.85,0
688361.SH,中科飞测,1528.0,4280,17,688361,82.89,-1.754178025
002859.SZ,洁美科技,1526.5,4281,33,002859,19.92,1.632653061
688349.SH,三一重能,1526.0,4282,17,688349,24.64,2.2406639
300907.SZ,康平科技,1522.5,4284,33,300907,26.84,-0.555761393
831961.BJ,创远信科,1522.5,4283,151,831961,22.7,2.068345324
601827.SH,三峰环境,1521.5,4285,17,601827,8.51,0.472255018
603661.SH,恒林股份,1520.0,4286,17,603661,30.46,-0.45751634
300539.SZ,横河精密,1518.0,4287,33,300539,13.6,2.332580888
301298.SZ,东利机械,1517.5,4289,33,301298,16.51,2.039555006
600796.SH,钱江生化,1517.5,4288,17,600796,5.98,0.167504188
301119.SZ,正强股份,1516.0,4290,33,301119,34.93,1.747742499
605155.SH,西大门,1514.0,4291,17,605155,12.39,-0.721153846
300266.SZ,兴源环境,1512.5,4292,33,300266,2.9,1.045296167
603733.SH,仙鹤股份,1510.5,4293,17,603733,20.89,0.432692308
000557.SZ,西部创业,1510.0,4295,33,000557,5.18,0
301272.SZ,英华特,1510.0,4294,33,301272,37.03,-0.48374093
300707.SZ,威唐工业,1508.5,4296,33,300707,13.78,1.923076923
688053.SH,思科瑞,1507.5,4297,17,688053,31.73,4.101049869
836807.BJ,奔朗新材,1507.0,4298,151,836807,14.74,1.236263736
688252.SH,天德钰,1505.5,4299,17,688252,23.96,2.832618026
301279.SZ,金道科技,1502.5,4300,33,301279,21.83,1.96170014
301270.SZ,汉仪股份,1502.5,4301,33,301270,45.89,2.501675229
603080.SH,新疆火炬,1501.5,4302,17,603080,17.56,0.688073394
001256.SZ,炜冈科技,1501.0,4304,33,001256,21.18,-0.282485876
600386.SH,北巴传媒,1501.0,4303,17,600386,4.64,1.089324619
688280.SH,精进电动,1500.0,4305,17,688280,7.33,1.103448276
688210.SH,统联精密,1499.5,4306,17,688210,24.09,2.162849873
600251.SH,冠农股份,1498.5,4307,17,600251,7.71,-0.258732212
600421.SH,*ST华嵘,1498.0,4308,22,600421,6.98,3.560830861
003019.SZ,宸展光电,1496.5,4310,33,003019,32.43,0.278293135
688478.SH,晶升股份,1496.5,4309,17,688478,31,3.678929766
833533.BJ,骏创科技,1495.0,4311,151,833533,35.82,2.753872633
688512.SH,慧智微,1493.0,4312,17,688512,10.73,2.385496183
300596.SZ,利安隆,1492.5,4313,33,300596,28.86,1.156677182
300412.SZ,迦南科技,1492.0,4315,33,300412,5.18,0.582524272
600299.SH,安迪苏,1492.0,4314,17,600299,9.7,0.20661157
605286.SH,同力日升,1489.0,4316,17,605286,37.97,0.984042553
001299.SZ,美能能源,1488.5,4317,33,001299,11.53,0.610820244
603713.SH,密尔克卫,1486.0,4318,17,603713,52.22,0.481046758
002928.SZ,华夏航空,1485.5,4320,33,002928,8.27,-0.241254524
688069.SH,德林海,1485.5,4319,17,688069,20.7,4.810126582
839273.BJ,一致魔芋,1485.0,4321,151,839273,40.4,1.20240481
002638.SZ,勤上股份,1482.5,4323,33,002638,2.45,0.409836066
301026.SZ,浩通科技,1482.5,4322,33,301026,25.65,0.667189953
600229.SH,城市传媒,1480.5,4324,17,600229,7.13,0.564174894
301159.SZ,三维天地,1480.0,4325,33,301159,33.06,1.286764706
603208.SH,江山欧派,1479.5,4326,17,603208,15.67,1.489637306
603010.SH,万盛股份,1479.0,4327,17,603010,9.9,1.123595506
688489.SH,三未信安,1478.5,4328,17,688489,40.75,-0.827451935
600512.SH,腾达建设,1474.0,4329,17,600512,2.35,0.427350427
001260.SZ,坤泰股份,1473.5,4330,33,001260,19.26,1.797040169
300305.SZ,裕兴股份,1473.0,4331,33,300305,6.56,1.547987616
688678.SH,福立旺,1472.5,4332,17,688678,19.14,2.407704655
000548.SZ,湖南投资,1471.5,4333,33,000548,5.46,-0.182815356
600235.SH,民丰特纸,1471.0,4334,17,600235,6.47,0
688372.SH,伟测科技,1470.0,4335,17,688372,58.69,1.452031115
605368.SH,蓝天燃气,1469.5,4336,17,605368,9.92,0.202020202
688155.SH,先惠技术,1467.0,4337,17,688155,49.35,0.345668971
603855.SH,华荣股份,1463.0,4339,17,603855,21.18,0.284090909
605001.SH,威奥股份,1463.0,4338,17,605001,7.33,0.548696845
002956.SZ,西麦食品,1461.5,4341,33,002956,23,0.174216028
300816.SZ,艾可蓝,1461.5,4340,33,300816,32.2,-0.21691974
600533.SH,栖霞建设,1460.5,4343,17,600533,2.65,1.145038168
603698.SH,航天工程,1460.5,4342,17,603698,16.88,0.956937799
002998.SZ,优彩资源,1460.0,4344,33,002998,7.62,-0.131061599
300732.SZ,设研院,1458.5,4345,33,300732,7.42,1.643835616
002058.SZ,*ST威尔,1458.0,4347,33,002058,13.45,0.074404762
603721.SH,*ST天择,1458.0,4346,22,603721,19.16,-0.930713547
300426.SZ,华智数媒,1457.5,4349,33,300426,9.57,0.630914826
688439.SH,振华风光,1457.5,4348,17,688439,55.42,0.855323021
688093.SH,世华科技,1457.0,4350,17,688093,31.4,2.681491171
301322.SZ,绿通科技,1453.5,4351,33,301322,28.36,0.710227273
603102.SH,百合股份,1451.5,4352,17,603102,42.6,-0.327562003
603608.SH,天创时尚,1451.0,4353,17,603608,5.51,-0.361663653
002723.SZ,小崧股份,1446.0,4354,33,002723,7.36,0.821917808
688631.SH,莱斯信息,1445.5,4355,17,688631,86.38,-0.860782738
002591.SZ,恒大高新,1443.5,4356,33,002591,6.08,0.829187396
603519.SH,立霸股份,1442.5,4357,17,603519,12.48,-0.952380952
300298.SZ,三诺生物,1442.0,4358,33,300298,22,0.410771337
920019.BJ,铜冠矿建,1441.5,4359,151,920019,24.22,1.978947368
000790.SZ,华神科技,1441.0,4361,33,000790,3.99,0.503778338
301207.SZ,华兰疫苗,1441.0,4360,33,301207,16.96,1.012507445
688266.SH,泽璟制药,1440.5,4362,17,688266,112.6,-2.256944444
605336.SH,帅丰电器,1439.0,4363,17,605336,19.18,-0.518672199
603020.SH,爱普股份,1437.5,4364,17,603020,9.27,-0.749464668
600337.SH,美克家居,1437.0,4365,17,600337,2.27,0.888888889
002566.SZ,益盛药业,1431.5,4366,33,002566,7.97,0
002790.SZ,瑞尔特,1429.0,4367,33,002790,7.37,0.272108844
600826.SH,兰生股份,1428.0,4368,17,600826,8.05,0.877192982
000030.SZ,富奥股份,1427.0,4369,33,000030,5.8,0
301056.SZ,森赫股份,1426.5,4370,33,301056,10.01,-0.497017893
301070.SZ,开勒股份,1425.5,4371,33,301070,42.79,-0.186610683
833454.BJ,同心传动,1425.0,4372,151,833454,20.1,2.551020408
000828.SZ,东莞控股,1423.5,4374,33,000828,10.92,0.367647059
603500.SH,祥和实业,1423.5,4373,17,603500,9.25,1.203501094
603798.SH,康普顿,1423.0,4375,17,603798,10.88,0.554528651
301371.SZ,敷尔佳,1421.0,4377,33,301371,25.57,1.629570747
688586.SH,江航装备,1421.0,4376,17,688586,10.84,-0.092165899
600857.SH,宁波中百,1419.5,4378,17,600857,10.42,0.579150579
603819.SH,神力股份,1416.0,4379,17,603819,13.66,1.260192735
603052.SH,可川科技,1415.0,4380,17,603052,27.54,0.584368152
001311.SZ,多利科技,1414.0,4381,33,001311,20.67,1.174743025
603558.SH,健盛集团,1413.5,4382,17,603558,9.32,0
300497.SZ,富祥药业,1411.5,4384,33,300497,9.1,0
835174.BJ,五新隧装,1411.5,4383,151,835174,41.15,-0.145595729
000978.SZ,桂林旅游,1410.5,4386,33,000978,6.21,0.485436893
834062.BJ,科润智控,1410.5,4385,151,834062,10.84,-0.732600733
600790.SH,轻纺城,1410.0,4387,17,600790,3.82,0.262467192
600444.SH,国机通用,1409.5,4388,17,600444,16.67,-0.239377618
603018.SH,华设集团,1409.0,4389,17,603018,8.13,0
300150.SZ,世纪瑞尔,1408.5,4390,33,300150,5.16,1.176470588
688590.SH,新致软件,1407.5,4391,17,688590,20.15,1.511335013
301218.SZ,华是科技,1407.0,4392,33,301218,21.27,0.805687204
603223.SH,恒通股份,1406.5,4393,17,603223,10.89,1.208178439
000028.SZ,国药一致,1404.5,4395,33,000028,25.04,0.079936051
601366.SH,利群股份,1404.5,4394,17,601366,4.63,0.216450216
688709.SH,成都华微,1402.5,4396,17,688709,31.71,1.407099456
600168.SH,武汉控股,1400.0,4397,17,600168,4.75,0.8492569
601326.SH,秦港股份,1399.5,4398,17,601326,3.33,-0.299401198
