股票代码,股票简称,最新价,最新涨跌幅,涨停[20250619],首次涨停时间[20250619],最终涨停时间[20250619],涨停明细数据[20250619],连续涨停天数[20250619],涨停原因类别[20250619],涨停封单量[20250619],涨停封单额[20250619],涨停封单量占成交量比[20250619],涨停封单量占流通a股比[20250619],涨停开板次数[20250619],a股市值(不含限售股)[20250619],几天几板[20250619],涨停类型[20250619],market_code,code
002240.SZ,盛新锂能,12.34,9.982174688,涨停, 09:42:48, 09:42:48,"[{""code"":""002240.SZ"",""time"":1750297368000,""openTime"":null,""duration"":3501000,""updatedTime"":1750300869000,""firstVol"":9.19042E7,""highestVol"":1.017638E8,""firstVolDivLTGB"":0.10604534029597448,""firstVolDivVol"":6.956246,""highestVolDivLTGB"":0.11742201989475441,""highestVolDivVol"":7.183283}]",1,固态电池+金属锂+锂矿资源,40082300,494615582,161.62203689303587,4.624969417442661,0,10694461700.000,首板涨停,放量涨停,33,002240
002076.SZ,*ST星光,1.91,4.945054945,涨停, 09:25:00, 09:36:00,"[{""code"":""002076.SZ"",""time"":1750296300000,""openTime"":1750296957000,""duration"":414000,""updatedTime"":1750296957000,""firstVol"":1.80657E7,""highestVol"":3.04483E7,""firstVolDivLTGB"":0.017557577491999113,""firstVolDivVol"":1.946294,""highestVolDivLTGB"":0.029591899940198087,""highestVolDivVol"":2.512257},{""code"":""002076.SZ"",""time"":1750296960000,""openTime"":null,""duration"":3906000,""updatedTime"":1750300866000,""firstVol"":1.65696E7,""highestVol"":3.15778E7,""firstVolDivLTGB"":0.016103557349642056,""firstVolDivVol"":0.579383,""highestVolDivLTGB"":0.030689631208691035,""highestVolDivVol"":1.074298}]",1,股权转让+量子科技+云计算+锂电池,17376200,33188542,51.666136412967525,1.6887470622033742,1,1965276100.000,首板涨停,T字涨停||缩量涨停,33,002076
603533.SH,掌阅科技,22.06,10.024937656,涨停, 10:10:15, 10:24:12,"[{""code"":""603533.SH"",""time"":1750299015000,""openTime"":1750299834000,""duration"":816000,""updatedTime"":1750299834000,""firstVol"":2.4356385E7,""highestVol"":2.8405585E7,""firstVolDivLTGB"":0.055494556027044485,""firstVolDivVol"":1.257676,""highestVolDivLTGB"":0.06472041430875208,""highestVolDivVol"":1.346659},{""code"":""603533.SH"",""time"":1750299852000,""openTime"":null,""duration"":1017000,""updatedTime"":1750300869000,""firstVol"":1.10671E7,""highestVol"":2.15998E7,""firstVolDivLTGB"":0.025215720682970975,""firstVolDivVol"":0.393515,""highestVolDivLTGB"":0.04921384315747002,""highestVolDivVol"":0.766527}]",1,《遮天》即将首播+短剧+AI辅助阅读,10058200,221883892,30.982301135213692,2.291700280773271,1,9682064200.000,首板涨停,放量涨停,17,603533
002173.SZ,创新医疗,13.59,10.04048583,涨停, 09:37:00, 09:37:00,"[{""code"":""002173.SZ"",""time"":1750297020000,""openTime"":null,""duration"":3849000,""updatedTime"":1750300869000,""firstVol"":9.2033802E7,""highestVol"":1.071126E8,""firstVolDivLTGB"":0.22107331196558958,""firstVolDivVol"":1.523986,""highestVolDivLTGB"":0.25729391506878535,""highestVolDivVol"":1.698731}]",1,脑机接口+AI医疗大模型+医疗服务,51517616,700124401.44,67.64511368726428,12.374985870616808,0,5657577400.000,3天2板,放量涨停,33,002173
605133.SH,嵘泰股份,43.73,10.012578616,涨停, 10:24:04, 10:33:40,"[{""code"":""605133.SH"",""time"":1750299844000,""openTime"":1750299862000,""duration"":15000,""updatedTime"":1750299862000,""firstVol"":6233964.0,""highestVol"":6233964.0,""firstVolDivLTGB"":0.0337119512683089,""firstVolDivVol"":1.290181,""highestVolDivLTGB"":0.0337119512683089,""highestVolDivVol"":1.290181},{""code"":""605133.SH"",""time"":1750299877000,""openTime"":1750299898000,""duration"":18000,""updatedTime"":1750299898000,""firstVol"":3083864.0,""highestVol"":3083864.0,""firstVolDivLTGB"":0.016676880534775652,""firstVolDivVol"":0.587912,""highestVolDivLTGB"":0.016676880534775652,""highestVolDivVol"":0.587912},{""code"":""605133.SH"",""time"":1750300420000,""openTime"":null,""duration"":447000,""updatedTime"":1750300867000,""firstVol"":5755764.0,""highestVol"":6417364.0,""firstVolDivLTGB"":0.031125947387550958,""firstVolDivVol"":0.891304,""highestVolDivLTGB"":0.03470373945678863,""highestVolDivVol"":0.989679}]",1,其它,4173826,182521410.98,61.1054844092534,2.2571163181949827,2,8086486700.000,首板涨停,放量涨停,17,605133
603982.SH,泉峰汽车,10.85,10.040567951,涨停, 09:41:28, 09:47:28,"[{""code"":""603982.SH"",""time"":1750297288000,""openTime"":1750297615000,""duration"":324000,""updatedTime"":1750297615000,""firstVol"":3.3042E7,""highestVol"":3.3222794E7,""firstVolDivLTGB"":0.12131945024951393,""firstVolDivVol"":3.299827,""highestVolDivLTGB"":0.12198326686740663,""highestVolDivVol"":3.105265},{""code"":""603982.SH"",""time"":1750297648000,""openTime"":null,""duration"":3219000,""updatedTime"":1750300867000,""firstVol"":2.3432229E7,""highestVol"":2.4410729E7,""firstVolDivLTGB"":0.08603550452153978,""firstVolDivVol"":1.117146,""highestVolDivLTGB"":0.08962823746958014,""highestVolDivVol"":1.149125}]",1,一体化压铸+汽车关键零部件+海外拓展,11001124,119352430.4,43.82937660237275,4.039254027621614,1,2955055400.000,首板涨停,放量涨停,17,603982
605580.SH,恒盛能源,12.29,10.026857654,涨停, 09:44:41, 09:44:41,"[{""code"":""605580.SH"",""time"":1750297481000,""openTime"":null,""duration"":3387000,""updatedTime"":1750300868000,""firstVol"":1.86585E7,""highestVol"":1.88468E7,""firstVolDivLTGB"":0.0666375,""firstVolDivVol"":5.8387,""highestVolDivLTGB"":0.06731,""highestVolDivVol"":5.194446}]",1,热电联产+一季报增长+培育钻石,10468000,128656636,211.15055672099402,3.7387142857142854,0,3441200000.000,首板涨停,放量涨停,17,605580
601606.SH,长城军工,16.69,10.019775873,涨停, 10:28:53, 10:39:14,"[{""code"":""601606.SH"",""time"":1750300133000,""openTime"":1750300166000,""duration"":30000,""updatedTime"":1750300166000,""firstVol"":1.43895E7,""highestVol"":1.59659E7,""firstVolDivLTGB"":0.01986873201879407,""firstVolDivVol"":0.146448,""highestVolDivLTGB"":0.022045393414563692,""highestVolDivVol"":0.162431},{""code"":""601606.SH"",""time"":1750300184000,""openTime"":1750300214000,""duration"":27000,""updatedTime"":1750300214000,""firstVol"":1048200.0,""highestVol"":2809700.0,""firstVolDivLTGB"":0.0014473334655199935,""firstVolDivVol"":0.010246,""highestVolDivLTGB"":0.0038795772162483547,""highestVolDivVol"":0.027414},{""code"":""601606.SH"",""time"":1750300322000,""openTime"":1750300337000,""duration"":12000,""updatedTime"":1750300337000,""firstVol"":73000.0,""highestVol"":115800.0,""firstVolDivLTGB"":1.0079693091295508E-4,""firstVolDivVol"":6.81E-4,""highestVolDivLTGB"":1.5989430958520822E-4,""highestVolDivVol"":0.00108},{""code"":""601606.SH"",""time"":1750300754000,""openTime"":null,""duration"":114000,""updatedTime"":1750300868000,""firstVol"":513231.0,""highestVol"":8956731.0,""firstVolDivLTGB"":7.086590362929705E-4,""firstVolDivVol"":0.004542,""highestVolDivLTGB"":0.012367273915245522,""highestVolDivVol"":0.079111}]",0,,7935931,132832889.39,6.994955584818981,1.0989393677464183,3,12087372000.000,2天2板,放量涨停,17,601606
002490.SZ,山东墨龙,6.38,10,涨停, 09:50:48, 09:54:24,"[{""code"":""002490.SZ"",""time"":1750297848000,""openTime"":1750297881000,""duration"":30000,""updatedTime"":1750297881000,""firstVol"":69963.0,""highestVol"":7266663.0,""firstVolDivLTGB"":1.2914926844396203E-4,""firstVolDivVol"":6.57E-4,""highestVolDivLTGB"":0.0134140075536899,""highestVolDivVol"":0.067741},{""code"":""002490.SZ"",""time"":1750297896000,""openTime"":1750297938000,""duration"":39000,""updatedTime"":1750297938000,""firstVol"":238200.0,""highestVol"":1.41635E7,""firstVolDivLTGB"":4.3970892819564277E-4,""firstVolDivVol"":0.002023,""highestVolDivLTGB"":0.026145329154067955,""highestVolDivVol"":0.118678},{""code"":""002490.SZ"",""time"":1750297959000,""openTime"":1750298049000,""duration"":87000,""updatedTime"":1750298049000,""firstVol"":190100.0,""highestVol"":1.61018E7,""firstVolDivLTGB"":3.509179985306116E-4,""firstVolDivVol"":0.001551,""highestVolDivLTGB"":0.029723363644083126,""highestVolDivVol"":0.130761},{""code"":""002490.SZ"",""time"":1750298064000,""openTime"":null,""duration"":2805000,""updatedTime"":1750300869000,""firstVol"":3685700.0,""highestVol"":1.88188E7,""firstVolDivLTGB"":0.006803674209280775,""firstVolDivVol"":0.028985,""highestVolDivLTGB"":0.03473885129272948,""highestVolDivVol"":0.147558}]",5,油气装备+页岩气+国企,11245900,71748842,8.637355819438651,2.0759540871517124,3,3456186400.000,5天5板,放量涨停,33,002490
002872.SZ,ST天圣,4.67,4.943820225,涨停, 09:30:42, 09:32:09,"[{""code"":""002872.SZ"",""time"":1750296642000,""openTime"":1750296702000,""duration"":57000,""updatedTime"":1750296702000,""firstVol"":429800.0,""highestVol"":1111600.0,""firstVolDivLTGB"":0.0019998312473716155,""firstVolDivVol"":0.422865,""highestVolDivLTGB"":0.005172201988316165,""highestVolDivVol"":1.017204},{""code"":""002872.SZ"",""time"":1750296729000,""openTime"":null,""duration"":4140000,""updatedTime"":1750300869000,""firstVol"":12500.0,""highestVol"":2040200.0,""firstVolDivLTGB"":5.8161681228816176E-5,""firstVolDivVol"":0.004948,""highestVolDivLTGB"":0.009492916963442462,""highestVolDivVol"":0.759172}]",1,医药制造+回购计划+亏损收窄+ST板块,1198650,5597695.5,31.08554977759911,0.5577239936393641,1,1003667690.000,首板涨停,放量涨停,33,002872
